"","Latitude","Longitude","Elevation","Name1","Name2"
"104","38.0247","-107.3147"," 2641.7","LAKE","CITY"
"105","38.9075","-105.4706"," 2606.0","LAKE","GEORGE"
"106","38.8167","-104.9833"," 3128.8","LAKE","MORAINE"
"107","39.7489","-105.1206"," 1719.1","LAKEWOOD",""
"108","38.0936","-102.6306"," 1105.5","LAMAR","HCN"
"109","38.0636","-103.2153"," 1185.7","LAS","ANIMAS"
"110","37.4667","-105.1667"," 2817.0","LA","VETA"
"111","40.4897","-103.0822"," 1386.8","LEROY","9"
"112","39.15","-103.7667"," 1695.9","LIMON","10"
"113","40","-108.2"," 1871.5","LITTLE","HILLS"
"114","40.1589","-105.0736"," 1508.8","LONGMONT","2"
"115","37.1742","-105.9392"," 2343.9","MANASSA","HCN"
"116","37.335","-108.3161"," 2102.2","MANCOS",""
"117","40.5158","-108.0947"," 1811.7","MAYBELL",""
"118","40.0358","-107.9058"," 1898.6","MEEKER",""
"119","39.3619","-106.7422"," 2385.1","MEREDITH",""
"120","37.1986","-108.4883"," 2160.1","MESA","VERDE"
"121","37.5811","-106.1872"," 2344.5","MONTE","VISTA"
"122","38.4833","-107.8833"," 1763.6","MONTROSE","1"
"123","38.4858","-107.8792"," 1764.5","MONTROSE","#2"
"124","39.0833","-104.9333"," 2239.1","MONUMENT","2"
"125","40.6089","-103.8461"," 1457.9","NEW","RAYMER"
"126","37.8139","-109.0108"," 2036.1","NORTHDALE",""
"127","37.2167","-105.05"," 2684.1","NORTH","LAKE"
"128","38.1317","-108.2864"," 2139.7","NORWOOD",""
"129","38.2222","-103.7219"," 1315.2","ORDWAY","2"
"130","38.53","-103.7058"," 1453.0","ORDWAY","21"
"131","40.2667","-102.8333"," 1274.1","OTIS","11"
"132","38.0206","-107.6686"," 2389.6","OURAY",""
"133","37.2425","-107.0169"," 2209.8","PAGOSA","SPRINGS"
"134","39.1136","-108.3506"," 1448.1","PALISADE",""
"135","38.8522","-107.6236"," 1699.6","PAONIA","1"
"136","39.5289","-104.6567"," 1923.3","PARKER","6"
"137","38.45","-105.0667"," 1649.9","PENROSE",""
"138","38.6","-106.5333"," 2803.9","PITKIN",""
"139","37.9944","-108.0211"," 2301.2","PLACERVILLE","3SE"
"140","38.2833","-104.65"," 1430.1","PUEBLO","CITY"
"141","38.2597","-104.7169"," 1479.8","PUEBLO","RSVR"
"142","40.2411","-107.0864"," 2441.1","PYRAMID",""
"143","39.8297","-105.2353"," 1798.3","RALSTON","RSVR"
"144","40.0894","-108.7717"," 1610.9","RANGELY","1"
"145","40.7833","-105.55"," 2488.7","RED","FEATHER"
"146","37.7131","-108.0386"," 2682.2","RICO",""
"147","39.5447","-107.7853"," 1656.6","RIFLE",""
"148","37.7256","-107.2678"," 2952.9","RIO","GRANDE"
"149","38.0392","-103.6933"," 1271.0","ROCKY","FORD"
"150","38.8611","-104.0939"," 1845.3","RUSH","1N"
"151","38.8417","-104.9742"," 2758.4","RUXTON","PARK"
"152","37.9","-104.9333"," 2087.9","RYE",""
"153","38.0858","-106.1444"," 2347.3","SAGUACHE","HCN"
"154","38.5328","-106.0158"," 2182.4","SALIDA",""
"155","37.1953","-105.4242"," 2421.0","SAN","LUIS"
"156","38.4039","-106.4236"," 2578.6","SARGENTS",""
"157","39.4036","-104.9522"," 1821.2","SEDALIA","4"
"158","40.9383","-102.5253"," 1092.4","SEDGWICK",""
"159","40.8592","-102.5167"," 1216.2","SEDGWICK","5"
"160","39.5717","-107.2264"," 1807.5","SHOSHONE",""
"161","40.0328","-105.5758"," 3157.7","SILVER","LAKE"
"162","37.8089","-107.6633"," 2830.1","SILVERTON",""
"163","40.4725","-106.4475"," 2555.7","SPICER",""
"164","37.4","-102.6167"," 1344.5","SPRINGFIELD",""
"165","37.3694","-102.7428"," 1408.8","SPRINGFIELD","7"
"166","40.4883","-106.8233"," 2092.8","STEAMBOAT","SPRINGS"
"167","40.6278","-103.2083"," 1211.3","STERLING",""
"168","37.2931","-102.1864"," 1158.8","STONINGTON",""
"169","39.3047","-102.6003"," 1340.8","STRATTON",""
"170","39.2494","-106.3714"," 2968.1","SUGARLOAF","RSVR"
"171","37.5167","-107.7833"," 2225.0","TACOMA",""
"172","38.3422","-104.0567"," 1488.0","TACONY","13"
"173","38.8183","-106.6086"," 2797.8","TAYLOR","PARK"
"174","37.9492","-107.8736"," 2635.6","TELLURIDE","4WNW"
"175","37.1786","-104.4869"," 1837.9","TRINIDAD","HCN"
"176","37.8333","-107.8833"," 2956.3","TROUT","LAKE"
"177","37.1333","-103.3"," 1709.9","TROY","1"
"178","39.0936","-106.3514"," 2805.7","TWIN","LAKES"
"179","37.5667","-102.4"," 1260.0","TWO","BUTTES"
"180","38.3761","-108.7422"," 1530.4","URAVAN",""
"181","37.2667","-103.0333"," 1524.9","UTLEYVILLE",""
"182","37.3842","-107.5822"," 2364.9","VALLECITO","DAM"
"183","38.7167","-105.15"," 2959.0","VICTOR",""
"184","39.3","-102.7333"," 1373.1","VONA",""
"185","40.7442","-106.2792"," 2455.5","WALDEN",""
"186","37.6303","-104.7956"," 1920.2","WALSENBURG","1"
"187","37.3822","-102.2986"," 1212.5","WALSH","1"
"188","40.4256","-105.2103"," 1594.1","WATERDALE",""
"189","38.1311","-105.4661"," 2395.7","WESTCLIFFE",""
"190","40.4667","-104.9"," 1457.2","WINDSOR",""
"191","39.8683","-105.7639"," 2776.1","WINTER","PARK"
"192","37.4744","-106.7906"," 3243.1","WOLF","CREEK"
"193","37.4833","-106.8667"," 2876.1","WOLF","CREEK"
"194","40.0583","-102.2189"," 1121.7","WRAY","HCN"
"195","40.1561","-106.9092"," 2394.8","YAMPA",""
"196","37.5206","-108.7561"," 2090.9","YELLOW","JACKET"
"197","40.1236","-102.7217"," 1261.9","YUMA",""
